question,answer,wrong_answer,A,B,C,D,TFQs,LFGQs,MCQs,3_MC,2_MC
异位妊娠最常见的发生部位是,输卵管壶腹部,"['输卵管间质部', '输卵管系膜', '输卵管峡部']",输卵管间质部, 输卵管系膜, 输卵管峡部,输卵管壶腹部,异位妊娠最常见的发生部位是输卵管壶腹部吗？回答'是'或者'不是'即可。,异位妊娠最常见的发生部位是什么？回答一句话即可。,请选择一个正确选项。异位妊娠最常见的发生部位是：A 输卵管间质部 ，B  输卵管系膜 ，C  输卵管峡部，D 输卵管壶腹部。只能选择一个选项，禁止解释。,请选择一个正确选项。异位妊娠最常见的发生部位是：A 输卵管间质部 ，B  输卵管系膜 ，C 输卵管壶腹部。只能选择一个选项，禁止解释。,请选择一个正确选项。异位妊娠最常见的发生部位是：A 输卵管间质部 ，B 输卵管壶腹部。只能选择一个选项，禁止解释。
卵巢内胚窦瘤的特异性肿瘤标志物是,AFP,"['hCG', 'PSA', 'CA199']",hCG, PSA, CA199,AFP,卵巢内胚窦瘤的特异性肿瘤标志物是AFP吗？回答'是'或者'不是'即可。,卵巢内胚窦瘤的特异性肿瘤标志物是什么？回答一句话即可。,请选择一个正确选项。卵巢内胚窦瘤的特异性肿瘤标志物是：A hCG ，B  PSA ，C  CA199，D AFP。只能选择一个选项，禁止解释。,请选择一个正确选项。卵巢内胚窦瘤的特异性肿瘤标志物是：A hCG ，B  PSA ，C AFP。只能选择一个选项，禁止解释。,请选择一个正确选项。卵巢内胚窦瘤的特异性肿瘤标志物是：A hCG ，B AFP。只能选择一个选项，禁止解释。
乳房表浅脓肿切开引流，最佳切口是,轮辐状切口,"['“+”字切口', '“++”切口', '竖切口']",“+”字切口, “++”切口, 竖切口,轮辐状切口,乳房表浅脓肿切开引流的最佳切口是轮辐状切口吗？回答'是'或者'不是'即可。,乳房表浅脓肿切开引流，最佳切口是什么？回答一句话即可。,请选择一个正确选项。乳房表浅脓肿切开引流，最佳切口是：A “+”字切口 ，B  “++”切口 ，C  竖切口，D 轮辐状切口。只能选择一个选项，禁止解释。,请选择一个正确选项。乳房表浅脓肿切开引流，最佳切口是：A “+”字切口 ，B  “++”切口 ，C 轮辐状切口。只能选择一个选项，禁止解释。,请选择一个正确选项。乳房表浅脓肿切开引流，最佳切口是：A “+”字切口 ，B 轮辐状切口。只能选择一个选项，禁止解释。
患维生素D缺乏性佝偻病的9～10个月婴儿多见的骨骼改变是,方颅,"['颅骨软化', '肋骨串珠', '肋膈沟']",颅骨软化, 肋骨串珠, 肋膈沟,方颅,患维生素D缺乏性佝偻病的9～10个月婴儿多见的骨骼改变是方颅吗？回答'是'或者'不是'即可。,患维生素D缺乏性佝偻病的9～10个月婴儿多见的骨骼改变是什么？回答一句话即可。,请选择一个正确选项。患维生素D缺乏性佝偻病的9～10个月婴儿多见的骨骼改变是：A 颅骨软化 ，B  肋骨串珠 ，C  肋膈沟，D 方颅。只能选择一个选项，禁止解释。,请选择一个正确选项。患维生素D缺乏性佝偻病的9～10个月婴儿多见的骨骼改变是：A 颅骨软化 ，B  肋骨串珠 ，C 方颅。只能选择一个选项，禁止解释。,请选择一个正确选项。患维生素D缺乏性佝偻病的9～10个月婴儿多见的骨骼改变是：A 颅骨软化 ，B 方颅。只能选择一个选项，禁止解释。
子宫内膜癌绝大多数患者的首发症状是,异常阴道出血,"['阴道排出大量脓血性分泌物', '宫腔积脓', '下腹疼痛']",阴道排出大量脓血性分泌物, 宫腔积脓, 下腹疼痛,异常阴道出血,子宫内膜癌绝大多数患者的首发症状是异常阴道出血吗？回答'是'或者'不是'即可。,子宫内膜癌绝大多数患者的首发症状是什么？回答一句话即可。,请选择一个正确选项。子宫内膜癌绝大多数患者的首发症状是：A 阴道排出大量脓血性分泌物 ，B  宫腔积脓 ，C  下腹疼痛，D 异常阴道出血。只能选择一个选项，禁止解释。,请选择一个正确选项。子宫内膜癌绝大多数患者的首发症状是：A 阴道排出大量脓血性分泌物 ，B  宫腔积脓 ，C 异常阴道出血。只能选择一个选项，禁止解释。,请选择一个正确选项。子宫内膜癌绝大多数患者的首发症状是：A 阴道排出大量脓血性分泌物 ，B 异常阴道出血。只能选择一个选项，禁止解释。
可出现血液中抗壁细胞抗体阳性的疾病是,慢性萎缩性胃炎,"['慢性非萎缩性胃炎', '急性胃炎', '反流性食管炎']",慢性非萎缩性胃炎, 急性胃炎, 反流性食管炎,慢性萎缩性胃炎,可出现血液中抗壁细胞抗体阳性的疾病是慢性萎缩性胃炎吗？回答'是'或者'不是'即可。,可出现血液中抗壁细胞抗体阳性的疾病是什么？回答一句话即可。,请选择一个正确选项。可出现血液中抗壁细胞抗体阳性的疾病是：A 慢性非萎缩性胃炎 ，B  急性胃炎 ，C  反流性食管炎，D 慢性萎缩性胃炎。只能选择一个选项，禁止解释。,请选择一个正确选项。可出现血液中抗壁细胞抗体阳性的疾病是：A 慢性非萎缩性胃炎 ，B  急性胃炎 ，C 慢性萎缩性胃炎。只能选择一个选项，禁止解释。,请选择一个正确选项。可出现血液中抗壁细胞抗体阳性的疾病是：A 慢性非萎缩性胃炎 ，B 慢性萎缩性胃炎。只能选择一个选项，禁止解释。
属于卵巢性索一间质细胞肿瘤的是,颗粒细胞癌,"['胚胎癌', '卵巢甲状腺肿', '畸胎瘤']",胚胎癌, 卵巢甲状腺肿, 畸胎瘤,颗粒细胞癌,属于卵巢性索一间质细胞肿瘤的是颗粒细胞癌吗？回答'是'或者'不是'即可。,属于卵巢性索一间质细胞肿瘤的是什么？回答一句话即可。,请选择一个正确选项。属于卵巢性索一间质细胞肿瘤的是：A 胚胎癌 ，B  卵巢甲状腺肿 ，C  畸胎瘤，D 颗粒细胞癌。只能选择一个选项，禁止解释。,请选择一个正确选项。属于卵巢性索一间质细胞肿瘤的是：A 胚胎癌 ，B  卵巢甲状腺肿 ，C 颗粒细胞癌。只能选择一个选项，禁止解释。,请选择一个正确选项。属于卵巢性索一间质细胞肿瘤的是：A 胚胎癌 ，B 颗粒细胞癌。只能选择一个选项，禁止解释。
早发型新生儿败血症的感染途径最常见的是,母亲垂直传播感染胎儿,"['胎膜早破', '产时胎儿通过产道吸入污染的分泌物', '脐带感染']",胎膜早破, 产时胎儿通过产道吸入污染的分泌物, 脐带感染,母亲垂直传播感染胎儿,早发型新生儿败血症的感染途径最常见的是母亲垂直传播感染胎儿吗？回答'是'或者'不是'即可。,早发型新生儿败血症的感染途径最常见的是什么？回答一句话即可。,请选择一个正确选项。早发型新生儿败血症的感染途径最常见的是：A 胎膜早破 ，B  产时胎儿通过产道吸入污染的分泌物 ，C  脐带感染，D 母亲垂直传播感染胎儿。只能选择一个选项，禁止解释。,请选择一个正确选项。早发型新生儿败血症的感染途径最常见的是：A 胎膜早破 ，B  产时胎儿通过产道吸入污染的分泌物 ，C 母亲垂直传播感染胎儿。只能选择一个选项，禁止解释。,请选择一个正确选项。早发型新生儿败血症的感染途径最常见的是：A 胎膜早破 ，B 母亲垂直传播感染胎儿。只能选择一个选项，禁止解释。
可以引起人类呼吸道、肠胃道、泌尿道及眼部感染的病毒是,腺病毒,"['呼吸道合胞病毒', '腮腺炎病毒', '麻疹病毒']",呼吸道合胞病毒, 腮腺炎病毒, 麻疹病毒,腺病毒,可以引起人类呼吸道、肠胃道、泌尿道及眼部感染的病毒是腺病毒吗？回答'是'或者'不是'即可。,可以引起人类呼吸道、肠胃道、泌尿道及眼部感染的病毒是什么？回答一句话即可。,请选择一个正确选项。可以引起人类呼吸道、肠胃道、泌尿道及眼部感染的病毒是：A 呼吸道合胞病毒 ，B  腮腺炎病毒 ，C  麻疹病毒，D 腺病毒。只能选择一个选项，禁止解释。,请选择一个正确选项。可以引起人类呼吸道、肠胃道、泌尿道及眼部感染的病毒是：A 呼吸道合胞病毒 ，B  腮腺炎病毒 ，C 腺病毒。只能选择一个选项，禁止解释。,请选择一个正确选项。可以引起人类呼吸道、肠胃道、泌尿道及眼部感染的病毒是：A 呼吸道合胞病毒 ，B 腺病毒。只能选择一个选项，禁止解释。
不支持新生儿化脓性脑膜炎临床表现的是,苦笑面容,"['吐奶', '拒食、少动', '黄疸']",吐奶, 拒食、少动, 黄疸,苦笑面容,不支持新生儿化脓性脑膜炎临床表现的是苦笑面容吗？回答'是'或者'不是'即可。,不支持新生儿化脓性脑膜炎临床表现的是什么？回答一句话即可。,请选择一个正确选项。不支持新生儿化脓性脑膜炎临床表现的是：A 吐奶 ，B  拒食、少动 ，C  黄疸，D 苦笑面容。只能选择一个选项，禁止解释。,请选择一个正确选项。不支持新生儿化脓性脑膜炎临床表现的是：A 吐奶 ，B  拒食、少动 ，C 苦笑面容。只能选择一个选项，禁止解释。,请选择一个正确选项。不支持新生儿化脓性脑膜炎临床表现的是：A 吐奶 ，B 苦笑面容。只能选择一个选项，禁止解释。
婴儿秋季腹泻的病原为,轮状病毒,"['金黄色葡萄球菌', '大肠杆菌', '埃可病毒']",金黄色葡萄球菌, 大肠杆菌, 埃可病毒,轮状病毒,婴儿秋季腹泻的病原为轮状病毒吗？回答'是'或者'不是'即可。,婴儿秋季腹泻的病原为什么？回答一句话即可。,请选择一个正确选项。婴儿秋季腹泻的病原为：A 金黄色葡萄球菌 ，B  大肠杆菌 ，C  埃可病毒，D 轮状病毒。只能选择一个选项，禁止解释。,请选择一个正确选项。婴儿秋季腹泻的病原为：A 金黄色葡萄球菌 ，B  大肠杆菌 ，C 轮状病毒。只能选择一个选项，禁止解释。,请选择一个正确选项。婴儿秋季腹泻的病原为：A 金黄色葡萄球菌 ，B 轮状病毒。只能选择一个选项，禁止解释。
属于药物流产禁忌证的是,妊娠剧吐,"['瘢痕子宫', '严重骨盆畸形', '哺乳期妊娠']",瘢痕子宫, 严重骨盆畸形, 哺乳期妊娠,妊娠剧吐,属于药物流产禁忌证的是妊娠剧吐吗？回答'是'或者'不是'即可。,属于药物流产禁忌证的是什么？回答一句话即可。,请选择一个正确选项。属于药物流产禁忌证的是：A 瘢痕子宫 ，B  严重骨盆畸形 ，C  哺乳期妊娠，D 妊娠剧吐。只能选择一个选项，禁止解释。,请选择一个正确选项。属于药物流产禁忌证的是：A 瘢痕子宫 ，B  严重骨盆畸形 ，C 妊娠剧吐。只能选择一个选项，禁止解释。,请选择一个正确选项。属于药物流产禁忌证的是：A 瘢痕子宫 ，B 妊娠剧吐。只能选择一个选项，禁止解释。
最常见于幼女和少女的卵巢肿瘤是,内胚窦瘤,"['纤维瘤', '颗粒细胞瘤', '黏液性囊腺瘤']",纤维瘤, 颗粒细胞瘤, 黏液性囊腺瘤,内胚窦瘤,最常见于幼女和少女的卵巢肿瘤是内胚窦瘤吗？回答'是'或者'不是'即可。,最常见于幼女和少女的卵巢肿瘤是什么？回答一句话即可。,请选择一个正确选项。最常见于幼女和少女的卵巢肿瘤是：A 纤维瘤 ，B  颗粒细胞瘤 ，C  黏液性囊腺瘤，D 内胚窦瘤。只能选择一个选项，禁止解释。,请选择一个正确选项。最常见于幼女和少女的卵巢肿瘤是：A 纤维瘤 ，B  颗粒细胞瘤 ，C 内胚窦瘤。只能选择一个选项，禁止解释。,请选择一个正确选项。最常见于幼女和少女的卵巢肿瘤是：A 纤维瘤 ，B 内胚窦瘤。只能选择一个选项，禁止解释。
子宫内膜异位症的好发部位是,卵巢,"['子宫内膜', '子宫阔韧带', '子宫圆韧带']",子宫内膜, 子宫阔韧带, 子宫圆韧带,卵巢,子宫内膜异位症的好发部位是卵巢吗？回答'是'或者'不是'即可。,子宫内膜异位症的好发部位是什么？回答一句话即可。,请选择一个正确选项。子宫内膜异位症的好发部位是：A 子宫内膜 ，B  子宫阔韧带 ，C  子宫圆韧带，D 卵巢。只能选择一个选项，禁止解释。,请选择一个正确选项。子宫内膜异位症的好发部位是：A 子宫内膜 ，B  子宫阔韧带 ，C 卵巢。只能选择一个选项，禁止解释。,请选择一个正确选项。子宫内膜异位症的好发部位是：A 子宫内膜 ，B 卵巢。只能选择一个选项，禁止解释。
前置胎盘首选的检查方法是,B型超声检查,"['阴道内诊检查', '下腹部听诊胎盘杂音', '放射性同位素扫描']",阴道内诊检查, 下腹部听诊胎盘杂音, 放射性同位素扫描,B型超声检查,前置胎盘首选的检查方法是B型超声检查吗？回答'是'或者'不是'即可。,前置胎盘首选的检查方法是什么？回答一句话即可。,请选择一个正确选项。前置胎盘首选的检查方法是：A 阴道内诊检查 ，B  下腹部听诊胎盘杂音 ，C  放射性同位素扫描，D B型超声检查。只能选择一个选项，禁止解释。,请选择一个正确选项。前置胎盘首选的检查方法是：A 阴道内诊检查 ，B  下腹部听诊胎盘杂音 ，C B型超声检查。只能选择一个选项，禁止解释。,请选择一个正确选项。前置胎盘首选的检查方法是：A 阴道内诊检查 ，B B型超声检查。只能选择一个选项，禁止解释。
新生儿溶血病中，最常见的是,RhE溶血病,"['RhD溶血病', '其他Rh溶血病', 'AISO溶血病']",RhD溶血病, 其他Rh溶血病, AISO溶血病,RhE溶血病,新生儿溶血病中最常见的是RhE溶血吗？回答'是'或者'不是'即可。,新生儿溶血病中，最常见的是什么？回答一句话即可。,请选择一个正确选项。新生儿溶血病中，最常见的是：A RhD溶血病 ，B  其他Rh溶血病 ，C  AISO溶血病，D RhE溶血病。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿溶血病中，最常见的是：A RhD溶血病 ，B  其他Rh溶血病 ，C RhE溶血病。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿溶血病中，最常见的是：A RhD溶血病 ，B RhE溶血病。只能选择一个选项，禁止解释。
月经周期中期能起正反馈作用于下丘脑-垂体的激素是,雌激素,"['孕激素', '雄激素', '甲状腺激素']",孕激素, 雄激素, 甲状腺激素,雌激素,雌激素是月经周期中期起正反馈作用于下丘脑-垂体的激素吗？回答'是'或者'不是'即可。,月经周期中期能起正反馈作用于下丘脑-垂体的激素是什么？回答一句话即可。,请选择一个正确选项。月经周期中期能起正反馈作用于下丘脑-垂体的激素是：A 孕激素 ，B  雄激素 ，C  甲状腺激素，D 雌激素。只能选择一个选项，禁止解释。,请选择一个正确选项。月经周期中期能起正反馈作用于下丘脑-垂体的激素是：A 孕激素 ，B  雄激素 ，C 雌激素。只能选择一个选项，禁止解释。,请选择一个正确选项。月经周期中期能起正反馈作用于下丘脑-垂体的激素是：A 孕激素 ，B 雌激素。只能选择一个选项，禁止解释。
新生儿败血症早期最主要的特点是,缺乏特异症状,"['高热', '白细胞总数升高', '硬肿']",高热, 白细胞总数升高, 硬肿,缺乏特异症状,新生儿败血症早期缺乏特异症状是最主要的特点吗？回答'是'或者'不是'即可。,新生儿败血症早期最主要的特点是什么？回答一句话即可。,请选择一个正确选项。新生儿败血症早期最主要的特点是：A 高热 ，B  白细胞总数升高 ，C  硬肿，D 缺乏特异症状。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿败血症早期最主要的特点是：A 高热 ，B  白细胞总数升高 ，C 缺乏特异症状。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿败血症早期最主要的特点是：A 高热 ，B 缺乏特异症状。只能选择一个选项，禁止解释。
